interest,group,subject,strength,weakness,result,percentage
music,Commerce,Physics,Leadership,Panic stricken,Phycisit,70-80
music,Commerce,Psychology,Adaptability,Laziness,Legal consultant,80-90
music,Computer Science,Mathematics,Intellect,Procrastination,Mathematician,90-100
music,Commerce,Commerce,Adaptability,Procrastination,Accountant,80-90
socializing,Computer Science,Mathematics,Leadership,Laziness,Technician,70-80
reading,Commerce,Mathematics,Communication,Panic stricken,Clothing label,70-80
music,Biology,Biology,Adaptability,Procrastination,Paramedics,80-90
gardening,Biology,Biology,Adaptability,Procrastination,Doctor,70-80
socializing,Biology,Psychology,Adaptability,Deadlines,Management,60-70
music,Biology,Chemistry,Leadership,Laziness,Doctor,70-80
music,Biology,Biology,Communication,Laziness,Biotechnology,80-90
puzzles and games,Commerce,Commerce,Leadership,,Accountant,80-90
reading,Biology,Psychology,Leadership,Procrastination,Clinical Psychology,below 60
music,Computer Science,Mathematics,Intellect,Procrastination,Software Engineer,90-100
music,Biology,Mathematics,Adaptability,Panic stricken,Bio Informatics,80-90
socializing,Biology,Mathematics,Communication,Laziness,Technician,90-100
music,Biology,Biology,Adaptability,Procrastination,Doctor,90-100
music,Computer Science,Mathematics,Adaptability,Procrastination,BE CSE,90-100
music,,Art,Communication,Laziness,Pg,60-70
reading,Biology,Biology,Communication,Panic stricken,B.E,80-90
art,Biology,Biology,Communication,Procrastination,Bds,80-90
music,Biology,Art,Communication,Laziness,BE,70-80
music,Computer Science,Physics,Communication,Laziness,BE,80-90
music,Biology,Biology,Communication,Laziness,Btech biotechnology ,80-90
music,Computer Science,Mathematics,Resilience,Laziness,B. E,70-80
music,Biology,Physics,Leadership,Laziness,M.TECH,90-100
music,Biology,Mathematics,Communication,Laziness,B.sc Anesthesia ,70-80
music,Commerce,Commerce,Adaptability,Deadlines,b.com ,90-100
socializing,Biology,Biology,Adaptability,Panic stricken,Be,80-90
socializing,Biology,Biology,Adaptability,Panic stricken,Be,80-90
reading,Biology,Psychology,Adaptability,Procrastination,Bsc psychology ,60-70
music,Biology,Economics,Adaptability,Laziness,B.E. ,90-100
reading,Commerce,Commerce,Adaptability,Procrastination,Bcom,80-90
music,Biology,Biology,Communication,Procrastination,Msc,70-80
gardening,Biology,Biology,Adaptability,Laziness,BE,90-100
music,Computer Science,Art,Leadership,Panic stricken,Working ,60-70
music,Commerce,Mathematics,Adaptability,Procrastination,Bachelor of business administration ,70-80
music,Biology,Psychology,Adaptability,Procrastination,BTech Biotechnology ,80-90
coding,Biology,Mathematics,Communication,Panic stricken,BE,60-70
music,Biology,Physics,Leadership,Procrastination,B. Tech Textile technology,60-70
art,Biology,Physics,Adaptability,Panic stricken,B.E ,70-80
music,Commerce,Mathematics,Leadership,Laziness,Inter 1st year,90-100
socializing,Biology,Biology,Communication,Laziness,BE cse ,60-70
reading,Biology,Psychology,Leadership,Procrastination,engineering ,70-80
puzzles and games,Computer Science,Mathematics,Adaptability,Procrastination,B.tech,90-100
music,Biology,Psychology,Resilience,Procrastination,Occupational therapy ,70-80
music,Commerce,Economics,Leadership,Procrastination,MBA ,70-80
socializing,biology,Biology,leadership,Procrastination,Doctor,80-90
music,Computer Science,Mathematics,Adaptability,Laziness,Software Engineer,70-80
puzzles and games,Computer Science,Physics,Communication,Panic stricken,Research Scholar,80-90
puzzles and games,biology,Biology,Intellect,Laziness,Neuroscientist,80-90
reading,Commerce,Mathematics,Intellect,Procrastination,Accountant,80-90
coding,Computer Science,Psychology,Communication,Laziness,Psychologist,70-80
gardening,Computer Science,Biology,Intellect,Procrastination,Bio Informatics,70-80
reading,biology,Mathematics,Intellect,Procrastination,Surgen,80-90
music,Commerce,Mathematics,Communication,Laziness,Financier,80-90
socializing,biology,biology,resilience,Laziness,Paramedics,60-70
socializing,biology,biology,leadership,Procrastination,Doctor,80-90
socializing,biology,biology,resilience,Procrastination,BTech Biotechnology ,80-90
